Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Avg_Confidence,Page_Num
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
GRT PLAINS TOT AL,54 56,89,,50,7,1,2,,,,,,1,18,,,,,,,93.8,131
GULF SOUTH TOT AL,54 55,197,,114,9,,1,1,,,,,1,25,,,,,,,95.1,131
ROCKY MNTN TOTAL,54 55,57,,40,8,1,2,,,,,,1,20,,,,,,,93.7,131
PAC COAST TOTAL,54 57,348,,61,5,,,,,,,,,15,,,,,,,95.3,131
GRAND TOTAL,53 57,1938,,2400,31,,1,,,,,1,2,52,,,,,,,92.7,131
=== TABLE 52: Pages 132-132 ===,,,,,,,,,,,,,,,,,,,,,,
SUBURBAN,,,,,,,,,,,,,,,,,,,,,95.0,132
MIDOLESEX CNTY MASS,1,,23,10,3000,430,22,30,41,52,88,123,160,,,,,,,,91.9,132
LAKEHURST N J,1,55 56,19,,300,60,3,18,26,44,52,37,68,79,88,,,,,,91.3,132
KANAWHA co W VA,1,54 535,23,,20,2,,1,1,,2,2,3,3,6,,,,,,86.4,132
HILLSBOROUGH co FLA,1,54,,,87,40,,2,2,13,13,13,62,62,88,,,,,,92.6,132
FULTON co GEORGIA,1,54,,,,2,,,,,1,1,1,1,6,,,,,,93.9,132
HAMILTON COUNTY OHIO,1,54,31,,194,34,1,1,15,17,23,26,37,44,88,,,,,,93.8,132
TONKA BAY MINN,1,34,,,34,4,,,,,1,1,1,1,,,,,,,94.1,132
DENVER COUNTY COLO,1,54 55,10,,20,6,1,2,2,,3,3,4,4,20,,,,,,95.0,132
SALT LAKE UTAH,1,54,,,59,19,1,1,2,,11,11,26,26,62,,,,,,93.1,132
MULTNOMAH CNTY ORE,1,54,le,,,,,,,,1,1,1,,1,,,,,,90.8,132
GRAND TOTAL,,54 56,139,,3000,87,,1,1,,,,31,56,104,,,,,,93.5,132
NONURBAN,,,,,,,,,,,,,,,,,,,,,92.0,132
PT WORONZOF ALASKA,1,35 56,12,,,,,,,,,,,,,,,,,,88.6,132
=== TABLE 53: Pages 133-136 ===,,,,,,,,,,,,,,,,,,,,,,
WATERBURY CONN,55 56,,,,,,,,,,,,,,,,,,,,90.0,133
NUMBER OF SAMPLES,,,2,4,,3,3,3,4,1,,3,2,,,,,,,,95.7,133
MAXIMUM,,10,10,10,70,20,9,20,10,10,20,30,20,,,,,,,,94.7,133
AVERAGE,,5,7,8,22,11,7,13,6,10,,19,20,,,,,,,,92.2,133
MiN MUM,,,5,6,5,7,6,10,1,10,7,8,20,,,,,,,,88.5,133
BOSTON MASS,55,,,,,,,,,,,,,,,,,,,,94.7,133
NUMBER OF SAMPLES,,1,2,4,,1,150,2,4,1,2,2,1,,,,,,,,95.8,133
MAXIMUM,,53,34,60,240,180,,450,300,110,90,130,120,,,,,,,,93.8,133
AVERAGE,,53,34,47,240,180,125,305,157,110,85,105,120,,,,,,,,95.1,133
MINItTMUM,,53,34,40,240,180,100,160,60,110,80,80,120,,,,,,,,89.9,133
EVERETT WAS,55,,,,,,,,,,,,,,,,,,,,90.7,133
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,,1,2,,,,,,,,94.4,133
MAXIMUM,,50,80,590,550,380,160,90,310,100,50,150,,,,,,,,,87.2,133
AVERAGE,,26,53,40,550,235,93,80,185,85,50,150,295,,,,,,,,93.7,133
MINIMUM,,10,30,30,550,90,50,70,60,70,50,150,80,,,,,,,,92.9,133
EL N J,55 56,,,,,,,,,,,,,,,,,,,,92.0,133
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,,,,,,95.3,133
MAXIMUM,,40,30,216,90,510,,40,9,5,,30,35,,,,,,,,89.0,133
AVERAGE,,21,20,105,68,510,,40,4,5,,30,32,,,,,,,,95.3,133
,,10,10,40,46,510,,40,,5,,30,30,,,,,,,,94.7,133
PA ULSBORO WN J,55 56,,,,,,,,,,2,,,,,,,,,,88.7,133
NUMBER OF SAMPLES,,2,4,3,5,2,1,4,1,,,,,,,,,,,,94.9,133
MAXIMUM,,19,140,82,168,70,38,77,55,,97,,75,,,,,,,,90.1,133
AVERAGE,,17,59,48,87,56,38,47,55,,64,,75,,,,,,,,82.7,133
MINIMUM,,16,7,25,45,43,38,21,55,,32,,75,,,,,,,,92.5,133
CA MOEN N J,65 56,,,,,,,,,,,,7,,,,,,,,84.6,133
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,,,,,,,,,93.8,133
MAXIMUM,,40,1500,93,89,,67,30,47,55,60,,27,,,,,,,,94.7,133
AVERAGE,,30,557,60,68,,67,30,45,40,39,,24,,,,,,,,93.8,133
MINIMUM,,21,13,42,47,,67,30,43,29,18,,22,,,,,,,,91.9,133
PE RTH AMBOY NJ,55 56,,,,,,,,,,,,,,,,,,,,86.2,133
NUMBER OF SAMPLES,,3,,4,5,,,1,2,,2,,,,,,,,,,92.6,133
MAXIMUM,,27,88,120,120,,,31,60,,94,72,63,,,,,,,,91.1,133
AVERAGE,,22,88,88,80,,,31,45,,78,45,45,,,,,,,,93.9,133
MINIMUM,,17,88,33,53,,,31,31,,62,24,28,,,,,,,,92.6,133
TR ENTON AW J,55 56,,,,,,,,,,,,,,,,,,,,90.2,133
NUMBER OF SAMPLES,,3,,1,1,1,1,2,1,,1,1,3,,,,,,,,92.5,133
MAXIMUM,,32,54,38,115,70,31,49,28,,,40,68,,,,,,,,94.6,133
AVERAGE,,26,45,38,115,70,31,43,28,,550,40,42,,,,,,,,92.8,133
MINIMUM,,18,36,38,115,70,31,37,28,,,40,24,,,,,,,,91.1,133
JERSEY CITY N OJ,35 56,,,,,,,,,,,1,,,,,,,,,80.7,133
NUMBER OF SAMPLES,,2,3,4,4,,2,2,160,1,,,,,,,,,,,95.5,133
MAXIMUM,,55,1200,220,74,,130,38,,32,,19,30,,,,,,,,94.5,133
AVERAGE,,46,481,91,50,,100,26,95,32,,19,26,,,,,,,,93.9,133
,,38,73,29,25,,70,14,30,32,,19,22,,,,,,,,95.5,133
NEW YORK N,54 56,,,,,,,,,,,,,,,,,,,,93.2,133
NUMBER OF SAMPLES,,4,5,4,8,5,10,,5,6,6,7,7,,,,,,,,95.0,133
MAXIMUM,,39,23,31,94,76,39,20,20,35,69,30,102,,,,,,,,93.0,133
AVERAGE,,26,15,22,40,20,,9,11,15,24,13,24,,,,,,,,95.3,133
MINIMUM,,16,4,10,6,,7,,1,7,1,,7,,,,,,,,89.3,133
PHILADELPHI A PA,54 56,,,,,,,,,,,,,,,,,,,,90.0,133
NUMBER OF SAMPLES,,20,16,14,15,19,12,13,13,10,8,8,9,,,,,,,,95.3,133
MAXIMUM,,242,321,i73,67,110,58,31,34,37,2,5,70,,,,,,,,93.8,133
AVERAGE,,21,39,17,11,10,11,5,7,7,,1,8,,,,,,,,93.8,133
MINIMUM,,,,2,,2,3,,,,,,,,,,,,,,90.8,133
ALTOONA PA,56,,,,,,,,,,,,,,,,,,,,95.7,133
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,,,,,,95.1,133
MAXIMUM,,,1100,630,1900,640,,,510,250,,2300,,,,,,,,,92.8,133
AVERAGE,,,1100,630,1450,463,,,510,225,325,2300,,,,,,,,,95.1,133
MINIMUM,,,1100,630,1000,280,,,5190,200,90,2300,,,,,,,,,92.4,133
BRISTOL PA,55 56,,,,,,,,,,,,,,,,,,,,94.2,133
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,2,,,,,,,,94.7,133
MAXIMUM,,,15,18,16,21,,21,11,45,58,54,20,,,,,,,,94.0,133
AVERAGE,,,15,18,16,17,,16,11,22,56,50,18,,,,,,,,94.9,133
MINIMUM,,,15,18,16,13,,11,11,15,54,46,i7,,,,,,,,93.1,133
CHESTER PA,56,,,,,,,,,,,,,,,,,,,,96.0,133
NUMBER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,1,,,,,,,,95.6,133
MAXIMUM,,,5,,7,5,3,6,5,7,21,,3,,,,,,,,92.3,133
AVERAGE,,,5,,5,3,1,5,4,5,21,,3,,,,,,,,95.5,133
MINIMUM,,,5,,3,1,,4,3,3,21,,3,,,,,,,,87.0,133
ER PA,56,,,,,,,,,,,,,,,,,,,,95.7,133
NUMBER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,3,,,,,,,,95.1,133
MAXIMUM,,930,90,60,210,70,40,90,,510,290,410,210,,,,,,,,94.2,133
AVERAGE,,516,90,55,120,55,40,90,,266,220,245,106,,,,,,,,94.8,133
MUM,,120,90,50,60,40,40,90,,80,140,80,30,,,,,,,,94.0,133
Pt TTSBURGH PA,56,,,,,,,,,,,,,,,,,,,,85.0,133
NUMBER OF SAMPLES,,3,3,3,,,3,2,,2,2,2,1,,,,,,,,95.8,133
MAXIMUM,,2400,1000,560,,,10,40,,90,90,40,590,,,,,,,,89.7,133
AVERAGE,,1520,690,323,,,9,35,,80,65,40,,,,,,,,,94.8,133
MINT MUM,,960,150,160,,,8,30,,70,40,40,50,,,,,,,,80.7,133
wi LLIAMSPORT PA,56,,,,,,,,,,,,,,,,,,,,90.0,133
NUMBER OF SAMPLES,,,3,1,2,3,2,1,1,3,2,3,,,,,,,,,94.8,133
MAXIMUM,,,50,20,40,40,20,120,20,30,30,30,30,,,,,,,,90.9,133
AVERAGE,,,33,20,30,30,15,120,20,26,20,26,25,,,,,,,,95.3,133
MINIT MUM,,,20,20,20,20,10,120,20,20,10,20,20,,,,,,,,84.6,133
WASHINGTON OC,54 56,,,,,,,,,,,,,,,,,,,,93.8,134
NUMBER OF SAMPLES,,1,5,,4,6,6,4,7,6,3,,,,,,,,,,92.8,134
MAXIMUM,,3,12,,6,4,6,2,2,2,2,2,,,,,,,,,95.0,134
AVERAGE,,3,6,,2,2,2,,,,,2,,,,,,,,,95.3,134
MUM,,3,,,,,,,,,,2,,,,,,,,,82.3,134
LOUISVILLE KY,54 55,,,,,,,,,,,,,,,,,,,,84.5,134
NUMBER OF SAMPLES,,2,3,1,4,4,,13,13,12,6,1,6,,,,,,,,94.5,134
MAXIMUM,,2,5,23,58,36,18,79,23,25,12,20,23,,,,,,,,90.3,134
AVERAGE,,1,4,28,17,17,12,13,6,7,6,20,7,,,,,,,,95.1,134
MINIMUM,,,2,26,1,2,2,,,,2,20,,,,,,,,,92.0,134
BALTIMORE MD,57,,,,,,,,,,,,,,,,,,,,87.0,134
NUMBER OF SAMPLES,,1,2,2,3,1,3,2,3,1,,,,,,,,,,,92.3,134
MAXIMUM,,6,7,7,13,4,8,7,8,7,,,,,,,,,,,94.2,134
AVERAGE,,6,6,6,9,4,6,7,6,7,,,,,,,,,,,95.9,134
MINIMUM,,6,6,6,5,4,4,7,5,7,,,,,,,,,,,93.5,134
CHARLESTON W VA,54 55,,,,,,,,,,,,,,,,,,,,92.2,134
NUMBER OF,,,1,1,3,4,3,2,1,1,3,2,,,,,,,,,94.2,134
MAX MUM,,,10,10,27,9,6,7,10,10,10,5,20,,,,,,,,95.2,134
AVERAGE,,,10,10,17,6,3,6,10,10,7,5,20,,,,,,,,95.0,134
MIN t MUM,,,10,10,4,5,,5,10,10,6,5,20,,,,,,,,86.5,134
TAMPA FLA,54 55,,,,,,,,,,,,,,,,,,,,86.5,134
NUMBER OF SAMPLES,,2,2,1,5,5,2,2,2,3,1,2,1,,,,,,,,95.1,134
MAX u MUM,,,39,3,29,23,3,5,6,5,4,4,3,,,,,,,,90.6,134
AVERAGE,,4,21,3,7,6,1,4,4,3,4,4,3,,,,,,,,93.7,134
MIN MUM,,4,3,3,,1,,3,3,1,,4,3,,,,,,,,94.5,134
ATLANTA GA,54 56,,,,,,,,,,,,,,,,,,,,95.2,134
NUMBER OF SAMPLES,,1,3,4,3,3,1,3,1,,1,1,1,,,,,,,,95.1,134
MAX u MUM,,7,,8,4,5,5,6,5,,30,30,10,,,,,,,,88.2,134
AVERAGE,,7,5,6,1,1,5,3,5,,30,30,10,,,,,,,,93.4,134
MiWN 1 MUM,,7,,4,,,5,1,5,,30,30,10,,,,,,,,82.5,134
CHATTANOOGA TENN,55 56,,,,,,,,,,,,,,,,,,,,92.2,134
NUMBER OF SAMPLES,,1,5,3,2,2,,1,4,4,5,3,2,,,,,,,,94.2,134
MAX I MUM,,6,9,5,1,10,,1,5,2,7,20,15,,,,,,,,89.2,134
AVERAGE,,6,5,3,,,,1,2,1,4,10,9,,,,,,,,95.6,134
1 MUM,,6,1,2,,1,,1,,,2,3,3,,,,,,,,84.8,134
CHICAGO JEL,54,,,,,,,,,,,,,,,,,,,,70.3,134
NUMBER OF SAMPLES,,4,7,6,3,12,20,14,9,8,16,13,8,,,,,,,,95.1,134
MAX I MUM,,6,22,20,10,70,49,20,20,30,30,40,15,,,,,,,,91.9,134
AVERAGE,,3,10,9,7,15,9,4,6,8,9,12,9,,,,,,,,94.8,134
MIN I MUM,,,,1,6,2,,,,,,4,6,,,,,,,,84.4,134
EAST ST LOUIS tie,55,,,,,,,,,,,,,,,,,,,,78.0,134
NUMBER OF SAMPLES,,4,2,2,2,2,3,1,4,3,1,2,3,,,,,,,,95.2,134
MAX MUM,,10,1,150,300,3,8,20,10,7,4,1,10,,,,,,,,95.1,134
AVERAGE,,5,,,151,3,5,20,7,3,4,1,5,,,,,,,,94.2,134
MIA J MUM,,,,5,3,3,1,20,4,,4,1,1,,,,,,,,83.3,134
EastT CHICAGO tnDd,55 56,,,,,,,,,,,,,,,,,,,,63.4,134
NUMBER OF SAMPLES,,6,5,14,7,4,6,10,5,7,6,8,8,,,,,,,,91.2,134
MAX MUM,,80,50,30,28,20,38,54,26,90,26,110,170,,,,,,,,93.4,134
AVERAGE,,23,23,13,13,9,12,8,7,22,14,26,31,,,,,,,,93.8,134
MIN MUM,,1,2,2,6,4,,,,2,7,,1,,,,,,,,91.3,134
OETRO T MICH,53 54,,,,,,,,,,,,,,,,,,,,80.2,134
NUMBER OF SAMPLES,,,1,3,3,2,1,,,,,22,,,,,,,,,94.3,134
MAX 1 MUM,,,1,396,43,109,52,,,,,932,,,,,,,,,87.1,134
AVERAGE,,,1,350,34,90,52,,,,,34,,,,,,,,,94.7,134
MIN I MUM,,,1,300,29,71,52,,,,,,,,,,,,,,83.8,134
NCIENNATI OHIO,54 55,,,,,,,,,,,,,,,,,,,,69.5,134
NUMBER OF SAMPLES,,3,8,40,17,18,19,8,9,12,8,3,6,,,,,,,,93.1,134
MAX i MUM,,13,69,467,52,243,17,,6,6,24,200,11,,,,,,,,91.4,134
AVERAGE,,7,19,25,10,35,2,1,1,1,5,70,5,,,,,,,,93.0,134
MIN I MUM,,4,,,,,,,,,,3,1,,,,,,,,85.7,134
YOUNGSTOWN OHIO,57,,,,,,,,,,,,,,,,,,,,94.7,134
NUMBER OF SAMPLES,,,,1,2,1,1,2,2,1,2,,,,,,,,,,93.7,134
MAX I MUM,,,,7,11,11,10,15,14,6,12,,,,,,,,,,88.1,134
AVERAGE,,,,7,9,11,10,13,13,6,11,,,,,,,,,,95.6,134
MIAN I MUM,,,,7,8,11,10,11,13,6,10,,,,,,,,,,87.4,134
wl LWAUKEE WHS,57,,,,,,,,,,,,,,,,,,,,64.5,134
NUMBER OF SAMPLES,,2,2,2,3,2,1,2,2,2,1,,,,,,,,,,95.5,134
MAXIMUM,,42,44,55,28,80,13,8,6,7,4,,,,,,,,,,93.7,134
AVERAGE,,32,25,34,18,44,13,7,5,6,4,,,,,,,,,,95.4,134
MUM,,22,6,14,10,8,13,6,4,,4,,,,,,,,,,95.4,134
i NNEAPOLIS MINN,54 55,,,,,,,,,,,,,,,,,,,,66.4,134
NUMBER OF SAMPLES,,1,3,2,3,4,3,,5,4,3,2,1,,,,,,,,95.6,134
MAXIMUM,,2,18,6,4,46,17,,20,10,10,5,7,,,,,,,,90.2,134
AVERAGE,,2,il,5,1,12,10,,8,6,7,4,7,,,,,,,,94.7,134
,,2,3,5,,,3,,4,2,6,3,7,,,,,,,,92.9,134
KA NSAS CITY WO,54 56,,,,,,,,,,,,,,,,,,,,85.5,134
NUMBER OF SAMPLES,,4,3,4,6,,3,2,4,1,1,1,,,,,,,,,94.2,134
MAXIMUM,,5,28,9,20,4,4,8,6,1,4,6,10,,,,,,,,94.7,134
AVERAGE,,3,12,5,5,1,2,4,3,1,4,6,10,,,,,,,,93.4,134
MIntMUM,,2,4,3,,,,1,1,1,4,6,10,,,,,,,,84.0,134
ST LOUIS MO,55 56,,,,,,,,,,,,,,,,,,,,90.4,135
NUMBER OF SAMPLES,,2,2,,2,3,2,2,3,1,1,3,2,,,,,,,,95.4,135
MAXIMUM,,50,10,,40,20,10,10,10,8,1,5,6,,,,,,,,88.6,135
AVERAGE,,35,8,,25,16,9,10,9,8,7,4,6,,,,,,,,94.8,135
,,20,7,,10,10,8,10,9,8,7,4,6,,,,,,,,94.8,135
NEW ORLEANS LA,54 55,,,,,,,,,,,,,,,,,,,,93.6,135
NUMBER OF SAMPLES,,2,3,3,4,6,6,6,4,4,4,5,3,,,,,,,,95.7,135
MAXIMUM,,18,2,3,3,3,2,5,2,7,20,3,2,,,,,,,,95.6,135
AVERAGE,,,1,1,,,,2,,3,8,,,,,,,,,,95.3,135
MINIMUM,,,,,,,,1,,,,,,,,,,,,,84.5,135
FT WORTH TEXAS,54,,,,,,,,,,,,,,,,,,,,95.5,135
NUMBER OF SAMPLES,,2,3,4,4,5,2,2,2,2,2,2,2,,,,,,,,94.3,135
MAXIMUM,,70,70,113,114,79,50,40,30,20,20,30,60,,,,,,,,88.4,135
AVERAGE,,45,35,61,42,25,40,25,25,20,20,25,45,,,,,,,,92.8,135
MINIMUM,,20,17,8,10,,30,10,20,20,20,20,30,,,,,,,,92.8,135
HOUSTON TEXAS,54 55,,,,,,,,,,,,,,,,,,,,95.5,135
NUMBER OF SAMPLES,,,6,6,5,8,14,7,3,6,6,9,7,,,,,,,,94.6,135
MAXIMUM,,,26,10,7,8,24,18,29,33,22,31,19,,,,,,,,94.9,135
AVERAGE,,,7,6,4,2,3,7,,22,16,7,4,,,,,,,,93.9,135
MINIMUM,,,,2,1,,,,6,12,8,,,,,,,,,,88.0,135
BELLAIRE TEXAS,54 55,,,,,,,,,,,,,,,,,,,,95.5,135
NUMBER OF SAMPLES,,3,2,3,2,3,3,2,3,3,4,2,3,,,,,,,,95.7,135
MAX 1 MUM,,4,2,6,,1,,,2,,8,,3,,,,,,,,91.1,135
AVERAGE,,1,1,2,,,,,1,,4,5,2,,,,,,,,94.4,135
MIAN IMUM,,,,1,,,,,,,2,4,2,,,,,,,,79.3,135
DENVER COL,54 35,,,,,,,,,,2,,,,,,,,,,86.2,135
NUMBER OF SAMPLES,,2,2,2,2,2,5,2,2,2,,1,,,,,,,,,95.2,135
MAX 1 MUM,,20,20,20,40,10,3,5,5,7,,10,20,,,,,,,,92.9,135
AVERAGE,,15,15,is,30,6,,5,4,6,5,10,12,,,,,,,,93.2,135
MIN,,10,10,10,20,3,,5,4,6,2,190,,,,,,,,,89.6,135
SALT LAKE CiTY UTAH,54 55,3,,,,,,,,,,,,,,,,,,,88.1,135
NUMBER OF SAMPLES,,,3,2,2,2,6,2,2,2,2,2,3,,,,,,,,95.4,135
MAX MUM,,3,30,9,6,9,20,6,10,4,8,10,10,,,,,,,,95.5,135
AVERAGE,,3,18,9,3,8,7,6,7,3,7,9,,,,,,,,,93.9,135
MUM,,3,4,9,,8,,6,4,2,6,8,5,,,,,,,,93.5,135
ANCHORAGE ALASKA,54 55,1,,,,,,,,,,,,,,,,,,,89.4,135
NUMBER OF SAMPLES,,,3,3,,2,7,1,3,3,3,1,3,,,,,,,,95.6,135
MAX I MUM,,,39,1,53,,2,,,3,,,1,,,,,,,,84.7,135
AVERAGE,,,13,,21,,,,,1,,,,,,,,,,,94.5,135
MIN,,,,,,,,,,,,,,,,,,,,,93.0,135
Los ANGELES CALIF,54,,,,,,,,,,,,,,,,,,,,90.2,135
NUMBER OF SAMPLES,,,1,3,4,6,2,2,,,,,,,,,,,,,95.2,135
MAX 1 MUM,,,4,8,20,40,18,2,,,,,,,,,,,,,87.8,135
AVERAGE,,,4,5,13,12,17,1,,,,,,,,,,,,,94.6,135
MIN 1 MUM,,,4,3,,,17,1,,,,,,,,,,,,,75.9,135
SAN FRANCISCO CALIF,55 56,,,,,,,,,,,,,,,,,,,,94.6,135
NUMBER OF SAMPLES,,3,2,2,1,3,2,5,2,3,3,5,1,,,,,,,,92.5,135
MAX MUM,,3,1,,1,4,7,10,1,,2,,,,,,,,,,88.1,135
AVERAGE,,1,,,1,2,3,3,,,1,,,,,,,,,,94.6,135
Min I MUM,,,,,1,,,,,,,,,,,,,,,,73.0,135
PASADENA CALIF,54 56,,,,,,,,,,,,,,,,,,,,93.5,135
NUMBER OF SAMPLES,,4,6,3,6,5,5,7,2,4,6,,,,,,,,,,95.2,135
MAX 1 MUM,,20,48a,9,18,38,,29,13,15,32,,,,,,,,,,85.8,135
AVERAGE,,11,121,5,9,17,4,a1,11,10,11,,,,,,,,,,89.7,135
MIN I MUM,,,,2,4,1,,5,9,7,,,,,,,,,,,87.1,135
BERKELEY CALIF,54 55,,,,,,,,,,,,,,,,,,,,91.2,135
NUMBER OF SAMPLES,,3,5,,1,2,2,3,2,3,4,5,,,,,,,,,95.1,135
MAX MU i,,2,30,,7,17,,,1,,,8,15,,,,,,,,90.2,135
AVERAGE,,1,9,,7,8,,,,,,2,7,,,,,,,,93.1,135
MIN I MUM,,,,,7,,,,,,,,,,,,,,,,83.5,135
SAWN JOSE CALIF,54 56,,,,,,,,,,,,,,,,,,,,90.8,135
NUMBER OF SAMPLES,,4,6,4,2,5,5,5,,6,4,7,6,,,,,,,,94.6,135
MAX l MUM,,6,4,6,61,3,24,31,41,25,4,8,14 5,,,,,,,,90.1,135
AVERAGE,,2,1,3,32,,5,12,15,7,2,2,,,,,,,,,92.0,135
MIN 1 MUM,,,,,4,,,,2,2,,,,,,,,,,,90.8,135
SAN LEANDRO CALIF,55 56,,,,,,,,,,,,,,,,,,,,91.8,135
NUMBER OF SAMPLES,,3,1,2,1,1,2,4,4,1,3,7,1,,,,,,,,95.3,135
MAX,,10,1,7,1,,5,4,5,5,7,5,4,,,,,,,,94.9,135
AVERAGE,,4,1,4,1,,4,3,4,5,5,2,4,,,,,,,,95.5,135
MiN,,2,1,2,1,,4,3,3,5,3,,4,,,,,,,,94.1,135
PORTLANO OREGON,54 55,,,,,,,,,,,,,,,,,,,,91.2,135
NUMBER OF SAMPLES,,1,1,8,4,3,,2,7,5,21,20,,,,,,,,,94.9,135
MAX,,40,20,16,2,27,,6,5,5,10,13,,,,,,,,,95.3,135
AVERAGE,,40,20,4,,12,,5,3,2,2,3,,,,,,,,,95.4,135
MIN,,40,20,,,,,4,2,,,,,,,,,,,,95.0,135
SEATTLE WASH,57,,,,,,,,,,,,,,,,,,,,95.0,135
NUMBER OF SAMPLES,,2,2,1,2,3,2,2,2,3,1,,,,,,,,,,95.2,135
MAX MUM,,9,4,6,42,8,6,21,10,13,8,,,,,,,,,,94.8,135
AVERAGE,,6,2,6,23,,5,14,7,8,8,,,,,,,,,,94.8,135
MIN i MUM,,4,,6,5,6,4,8,4,6,8,,,,,,,,,,89.3,135
MIODLESEX CNTY MASS,55,,,,,,,,,,,,,,,,,,,,87.2,136
NUMBER OF SAMPLES,,2,1,2,,1,3,2,,3,1,2,,,,,,,,,94.6,136
MAXIMUM,,30,30,70,,30,,40,,3000,820,210,110,,,,,,,,92.2,136
AVERAGE,,25,30,,,30,120,25,290,2333,820,185,73,,,,,,,,92.5,136
MINIMUM,,20,30,40,,30,70,10,50,1200,820,160,30,,,,,,,,94.8,136
LA KEHUR ST N,55 56,,,,,,,,,,,,,,,,,,,,90.7,136
NUMBER OF SAMPLES,,2,1,3,3,2,,1,,2,1,2,,,,,,,,,94.2,136
MAXIMUM,,75,S2,86,300,81,59,51,,95,56,67,41,,,,,,,,85.1,136
AVERAGE,,52,52,52,115,48,39,31,,49,56,42,41,,,,,,,,87.6,136
MiNIMUM,,30,,,20,16,59,,,3,56,18,41,,,,,,,,86.8,136
KA NAWHA co WwW VA,54 55,,,,,,,,,,,,,,,,,,,,81.9,136
NUMBER OF SAMPLES,,1,3,2,1,5,,3,1,,2,1,,,,,,,,,93.2,136
MAXIMUM,,,2,2,1,6,20,7,3,,4,3,,,,,,,,,91.8,136
AVERAGE,,,,1,1,2,,4,3,,3,3,,,,,,,,,95.1,136
MUM,,,,1,1,,,3,3,,3,3,,,,,,,,,95.4,136
HA MILTON COUNTY OHIO,24 55,,,,,,,,,,,,,,,,,,,,85.7,136
NUMBER OF SAMPLES,,,1,2,2,2,,4,4,4,4,3,,,,,,,,,93.5,136
MAX,,,87,38,16,,,41,47,26,92,54,194,,,,,,,,87.1,136
AVERAGE,,,87,2s,8,,,26,27,18,44,35,176,,,,,,,,93.6,136
MINIMUM,,,87,i2,,,,18,19,8,26,14,159,,,,,,,,91.2,136
DE NVER COUNTY COLO,54 55,,,,,,,,,,,,,,,,,,,,81.0,136
NUMBER OF SAMPLES,,,1,1,1,,,1,,2,2,1,,,,,,,,,94.2,136
MAXIMUM,,,4,20,20,,,4,,4,3,2,,,,,,,,,92.4,136
AVERAGE,,,4,20,20,,,4,,3,3,2,,,,,,,,,96.0,136
MINIMUM,,,4,20,20,,,4,,2,3,2,,,,,,,,,93.8,136
=== TABLE 54: Pages 137-139 ===,,,,,,,,,,,,,,,,,,,,,,
WATERBURY CONN,1,,ba,,i3,,,,,,,,,,,,,,,,81.0,137
,1,,,,,6,,1,2,3,5,6,9,,,,,,,,92.5,137
,1,55 56,36,,19,7,1,2,4,5,5,7,9,10,14,,,,,,93.4,137
BOSTON MASS,1,55,23,,17,5,1,1,2,2,4,6,7,9,12,,,,,,95.6,137
EVERETT MASS,1,55,26,,37,9,,3,4,6,7,9,10,12,13,,,,,,93.7,137
NJ,1,55 56,21,,13,1,,,,1,1,1,1,2,,,,,,,92.0,137
PAULSBORO WN J,1,56,25,,26,2,,,1,1,1,1,2,3,,,,,,,91.2,137
CAMOEN WN J,1,55 56,21,,32,6,1,1,2,3,4,4,5,6,is,,,,,,88.2,137
PERTH AMBOY N J,1,55 56,23,,82,6,,,1,1,1,1,3,5,12,,,,,,93.9,137
TRENTON N J,1,55 56,17,,34,5,,,1,1,3,3,5,8,8,,,,,,94.1,137
JERSEY CiTYy WN J,1,55 56,23,,73,10,1,2,2,3,4,5,6,10,21,,,,,,88.8,137
NEW YORK N Y,2,54 56,50,,107,40,1,4,6,9,27,60,69,79,B86,,,,,,91.2,137
,3,54 55,24,,67,18,1,2,3,6,7,8,20,47,58,,,,,,92.6,137
,,54 56,75,,107,33,1,3,5,8,20,44,59,69,83,,,,,,95.1,137
PHILADELPHIA PA,1,54,6,36,157,73,35,35,37,37,58,67,67,103,103,,,,,,94.2,137
,1,55,94,1,35,9,2,4,5,6,7,9,11,13,18,,,,,,94.0,137
,1,56,11,,15,7,1,2,3,4,5,8,11,12,1 4,,,,,,91.5,137
,1,54 56,111,,157,12,2,3,5,6,8,9,i1,15,25,,,,,,93.6,137
,3,54,4,25,66,51,,28,28,54,54,54,58,58,67,,,,,,92.6,137
,4,56,11,,44,10,1,1,3,3,6,3,10,12,28,,,,,,94.5,137
,5,56,9,,16,4,,1,1,1,3,3,4,6,10,,,,,,95.8,137
,6,56,11,,19,4,,1,1,2,3,3,6,7,7,,,,,,94.6,137
,7,56,11,,23,7,1,1,3,3,4,6,6,12,21,,,,,,92.3,137
,,54,10,25,157,64,28,35,37,,55,58,63,67,103,,,,,,93.7,137
